City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Shar,KZ,49.5886,81.0453,23.72,93,100,10.96,overcast clouds
194,Faanui,PF,-16.4833,-151.75,81.18,73,67,13.85,broken clouds
195,Lagoa,PT,39.05,-27.9833,59.52,84,100,30.09,overcast clouds
196,Adre,TD,13.4667,22.2,76.95,14,59,15.41,broken clouds
197,Yei,SS,4.095,30.6779,75.63,53,92,5.75,overcast clouds
198,Yurga,RU,55.7231,84.8861,6.85,98,91,5.3,overcast clouds
199,Vila Velha,BR,-20.3297,-40.2925,76.95,90,51,7.31,broken clouds
200,Codrington,AU,-38.2667,141.9667,55.56,79,86,3.18,overcast clouds
201,Thaba-Tseka,LS,-29.522,28.6084,47.64,81,1,3.47,clear sky
202,Katsuura,JP,35.1333,140.3,50.38,69,3,6.89,clear sky
203,Alexandria,EG,31.2156,29.9553,55.31,63,58,21.52,broken clouds
204,Honiara,SB,-9.4333,159.95,79.5,80,67,1.92,broken clouds
205,Atasu,KZ,48.6814,71.6433,14.04,100,96,3.6,overcast clouds
206,Takoradi,GH,4.8845,-1.7554,81.36,82,51,6.22,broken clouds
207,Udachnyy,RU,66.4167,112.4,-6.88,94,100,3.31,overcast clouds
208,Smiths Falls,CA,44.9001,-76.0161,51.98,77,94,8.72,overcast clouds
209,Uyuni,BO,-20.4597,-66.825,59.52,16,0,13.49,clear sky
210,Chara,RU,56.9064,118.2631,2.57,75,47,2.24,scattered clouds
211,Bethel,US,41.3712,-73.414,45.36,92,100,9.22,mist
212,Havoysund,NO,70.9963,24.6622,30.43,67,100,25.41,overcast clouds
213,Tura,IN,25.5198,90.2201,68.49,84,3,7.96,clear sky
214,Victoria,HK,22.2855,114.1577,68.18,93,100,14.0,overcast clouds
215,Komsomolskiy,UZ,40.4272,71.7189,39.92,87,75,0.0,mist
216,Kloulklubed,PW,7.0419,134.2556,80.53,79,100,12.71,overcast clouds
217,Buala,SB,-8.145,159.5921,80.73,82,99,2.75,light rain
